2025-09-19 22:44:08 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:09 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:09 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:09 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:10 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:10 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:11 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:12 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:12 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:13 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:13 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:14 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:15 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:15 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:15 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
2025-09-19 22:44:16 | features=[0, 0, 0, 100, 100, 0, 0] | ML=0 [0.907, 0.047, 0.047] | Final=JAMMED [0.05, 0.2, 0.75]
